model,run_name,optimizer,lr,epochs,trainable_layers,dropout,val_accuracy,val_loss,test_accuracy,test_loss,test_precision,test_recall,test_f1,stopped_epoch
DenseNet121,DenseNet121-lr0.0001-ep60-optadam-layers20-drop0.5,adam,0.0001,60,20,0.5,0.8245398998260498,0.5358554720878601,0.8171778917312622,0.5418928265571594,0.7712713620124998,0.7559197629598129,0.761016410864589,21
DenseNet121,DenseNet121-lr0.0001-ep60-optadam-layers10-drop0.5,adam,0.0001,60,10,0.5,0.820858895778656,0.5099731683731079,0.8269938826560974,0.5072135925292969,0.789551382301763,0.7635530779304246,0.7738407951400115,22
DenseNet121,DenseNet121-lr0.0001-ep60-optsgd-layers20-drop0.3,sgd,0.0001,60,20,0.3,0.8196318745613098,0.49878790974617004,0.8220859169960022,0.5262094140052795,0.7729510584912811,0.7771427000932634,0.772801130540167,58
DenseNet121,DenseNet121-lr0.0001-ep60-optsgd-layers10-drop0.5,sgd,0.0001,60,10,0.5,0.8184049129486084,0.49358314275741577,0.8110429644584656,0.49403101205825806,0.7527171750057177,0.7705476238799143,0.7592704812863867,60
DenseNet121,DenseNet121-lr0.0001-ep60-optadam-layers30-drop0.3,adam,0.0001,60,30,0.3,0.8147239089012146,0.5206184387207031,0.8147239089012146,0.473466157913208,0.7560692129468582,0.7743214450817705,0.7642424130930205,14
DenseNet121,DenseNet121-lr0.0001-ep60-optadam-layers30-drop0.5,adam,0.0001,60,30,0.5,0.8098159432411194,0.49849870800971985,0.8073619604110718,0.5316081047058105,0.7495871953873791,0.7662895664303674,0.7561395487548572,16
DenseNet121,DenseNet121-lr0.0001-ep60-optadam-layers10-drop0.3,adam,0.0001,60,10,0.3,0.8098159432411194,0.5187288522720337,0.803680956363678,0.5441199541091919,0.7344623407596892,0.7768024259732644,0.7533568530623999,17
DenseNet121,DenseNet121-lr0.0001-ep60-optsgd-layers30-drop0.3,sgd,0.0001,60,30,0.3,0.808588981628418,0.5262044668197632,0.7963190078735352,0.5394587516784668,0.7355986751656043,0.7492753570663457,0.7415702032570403,49
DenseNet121,DenseNet121-lr0.0001-ep60-optsgd-layers10-drop0.3,sgd,0.0001,60,10,0.3,0.8073619604110718,0.5293689370155334,0.8110429644584656,0.5312379598617554,0.7602710345845357,0.7652603882265959,0.7610738858256073,49
DenseNet121,DenseNet121-lr0.0001-ep60-optadam-layers20-drop0.3,adam,0.0001,60,20,0.3,0.8012269735336304,0.5467644929885864,0.8134969472885132,0.5213944911956787,0.7608869641110116,0.7423143351647732,0.7509001777709994,15
DenseNet121,DenseNet121-lr0.0001-ep60-optsgd-layers20-drop0.5,sgd,0.0001,60,20,0.5,0.8012269735336304,0.5406389236450195,0.8049079775810242,0.4998415410518646,0.7549969273270243,0.7543299378405761,0.754057824794087,47
DenseNet121,DenseNet121-lr0.0001-ep60-optsgd-layers30-drop0.5,sgd,0.0001,60,30,0.5,0.7963190078735352,0.5072593092918396,0.8171778917312622,0.5162396430969238,0.7646919529747893,0.7750052148518982,0.7678363860953861,57
DenseNet121,DenseNet121-lr1e-05-ep60-optadam-layers10-drop0.3,adam,1e-05,60,10,0.3,0.7889570593833923,0.5953267812728882,0.808588981628418,0.5464361906051636,0.7537512518072598,0.7670888079210982,0.7583927774190097,60
DenseNet121,DenseNet121-lr1e-05-ep60-optadam-layers30-drop0.3,adam,1e-05,60,30,0.3,0.7877300381660461,0.5575258135795593,0.7987729907035828,0.587968111038208,0.7331715193660882,0.7367133023422134,0.7347966614980069,59
DenseNet121,DenseNet121-lr1e-05-ep60-optadam-layers30-drop0.5,adam,1e-05,60,30,0.5,0.7877300381660461,0.5867491364479065,0.8134969472885132,0.5335147380828857,0.7695107844658551,0.7478830520132147,0.7578576249404305,60
DenseNet121,DenseNet121-lr1e-05-ep60-optadam-layers10-drop0.5,adam,1e-05,60,10,0.5,0.7815951108932495,0.5630173683166504,0.7963190078735352,0.5812627077102661,0.7481093027461314,0.7541714788272986,0.7464269419416113,60
DenseNet121,DenseNet121-lr1e-05-ep60-optadam-layers20-drop0.3,adam,1e-05,60,20,0.3,0.7791411280632019,0.58555006980896,0.8110429644584656,0.5265937447547913,0.7594010377844862,0.762882798317717,0.7577444824936199,57
DenseNet121,DenseNet121-lr1e-05-ep60-optadam-layers20-drop0.5,adam,1e-05,60,20,0.5,0.7680981755256653,0.6094223856925964,0.7938650250434875,0.5781205296516418,0.7321241838093402,0.7570758895852763,0.7426281526511779,60
DenseNet121,DenseNet121-lr1e-05-ep60-optsgd-layers30-drop0.3,sgd,1e-05,60,30,0.3,0.7153373956680298,0.6968550682067871,0.7128834128379822,0.6962558627128601,0.632777022075915,0.5992990353128025,0.6116654063657394,60
DenseNet121,DenseNet121-lr1e-05-ep60-optsgd-layers20-drop0.3,sgd,1e-05,60,20,0.3,0.707975447177887,0.7379310727119446,0.6981595158576965,0.7215149402618408,0.6190157885932533,0.5782358659392451,0.5895826159146694,60
DenseNet121,DenseNet121-lr1e-05-ep60-optsgd-layers10-drop0.5,sgd,1e-05,60,10,0.5,0.7042945027351379,0.7619112133979797,0.6797546148300171,0.7732316255569458,0.5942498446600548,0.5496947197510401,0.5599185971796115,60
DenseNet121,DenseNet121-lr1e-05-ep60-optsgd-layers10-drop0.3,sgd,1e-05,60,10,0.3,0.7030674815177917,0.7496964931488037,0.6883435845375061,0.7530795335769653,0.6081887241848629,0.5977502847027253,0.5915773115328555,60
DenseNet121,DenseNet121-lr1e-05-ep60-optsgd-layers30-drop0.5,sgd,1e-05,60,30,0.5,0.6748466491699219,0.804123044013977,0.6748466491699219,0.7669770121574402,0.5763957816377171,0.5637562960779481,0.5588958464081024,60
DenseNet121,DenseNet121-lr1e-05-ep60-optsgd-layers20-drop0.5,sgd,1e-05,60,20,0.5,0.6699386239051819,0.8104459047317505,0.6638036966323853,0.815334141254425,0.5948985594613524,0.5467793356560566,0.5341126318942047,60
