model,run_name,optimizer,lr,epochs,trainable_layers,dropout,val_accuracy,val_loss,test_accuracy,test_loss,test_precision,test_recall,test_f1,stopped_epoch
ResNet101V2,ResNet101V2-lr0.0001-ep60-optadam-layers30-drop0.3,adam,0.0001,60,30,0.3,0.7815951108932495,0.7371492981910706,0.7644171714782715,0.7707124352455139,0.691834009401941,0.680848547009373,0.6861791791488658,14
ResNet101V2,ResNet101V2-lr0.0001-ep60-optadam-layers30-drop0.5,adam,0.0001,60,30,0.5,0.716564416885376,0.7980697154998779,0.7006134986877441,0.7874341607093811,0.6069743639803352,0.622195758694507,0.6124865192512118,10
ResNet101V2,ResNet101V2-lr0.0001-ep60-optadam-layers10-drop0.3,adam,0.0001,60,10,0.3,0.707975447177887,0.8279059529304504,0.699386477470398,0.845548689365387,0.6025804811746481,0.5749914830797184,0.5874801235006697,10
ResNet101V2,ResNet101V2-lr0.0001-ep60-optsgd-layers30-drop0.5,sgd,0.0001,60,30,0.5,0.7067484855651855,0.8346978425979614,0.6858895421028137,0.8352807760238647,0.5830313442164774,0.5937945477213312,0.5875207522650328,17
ResNet101V2,ResNet101V2-lr0.0001-ep60-optadam-layers10-drop0.5,adam,0.0001,60,10,0.5,0.7006134986877441,0.8493384122848511,0.7116564512252808,0.8280598521232605,0.6357462330024058,0.5966745956576995,0.6105378539787151,12
ResNet101V2,ResNet101V2-lr0.0001-ep60-optadam-layers20-drop0.3,adam,0.0001,60,20,0.3,0.6969324946403503,0.8663197755813599,0.6650306582450867,0.87345951795578,0.5741486488871541,0.5401927159592992,0.5525546574545342,9
ResNet101V2,ResNet101V2-lr0.0001-ep60-optsgd-layers10-drop0.3,sgd,0.0001,60,10,0.3,0.6957055330276489,0.8209977149963379,0.6858895421028137,0.8514424562454224,0.5926791119596915,0.5525899692827102,0.5695935150180915,24
ResNet101V2,ResNet101V2-lr0.0001-ep60-optsgd-layers30-drop0.3,sgd,0.0001,60,30,0.3,0.6920245289802551,0.8101627826690674,0.65398770570755,0.866051435470581,0.5527433058712988,0.5138044579533941,0.5278204214646752,13
ResNet101V2,ResNet101V2-lr0.0001-ep60-optsgd-layers10-drop0.5,sgd,0.0001,60,10,0.5,0.6907975673675537,0.8666086792945862,0.6748466491699219,0.8381380438804626,0.5794242628164288,0.5850805100648655,0.5813605406950265,28
ResNet101V2,ResNet101V2-lr0.0001-ep60-optadam-layers20-drop0.5,adam,0.0001,60,20,0.5,0.6907975673675537,0.8702861666679382,0.6723926663398743,0.8569666743278503,0.566731749017234,0.5452074302981686,0.5552069847716755,10
